Section ID,Section,HS2 ID,HS2,Trade Value,Share
1,Animal Products,101,Live animals,35384204,0.08684468002632272
1,Animal Products,102,Meat & edible offal,401227063,0.9847455068972648
1,Animal Products,103,"Fish, Crustaceans & Molluscs",27155307,0.06664821250271906
1,Animal Products,104,"Edible products of animal origin, n.e.s.",342434648,0.8404492421388496
1,Animal Products,105,"Animal originated products, n.e.s.",12428324,0.03050326696747134
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",3974261,0.009754166714788704
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",170895489,0.41943473025836486
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",174367557,0.42795634726265397
2,Vegetable Products,209,"Coffee, tea, mate & spices",14807826,0.036343361316124624
2,Vegetable Products,210,Cereals,6828742170,16.76001892640871
2,Vegetable Products,211,Products of the milling industry,143891579,0.353158096667579
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",1675131618,4.111333672143261
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",495825,0.001216920507072915
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",28612975,0.07022581766926765
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",4078563587,10.010160174297718
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",18701154,0.04589889135991261
4,Foodstuffs,417,Sugars & confectioneries,348724506,0.8558866589427151
4,Foodstuffs,418,Cocoa & cocoa preparations,163645591,0.4016410539605038
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",217612476,0.534093852950764
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",143421105,0.35200339599971314
4,Foodstuffs,421,Miscellaneous edible preparations,101299853,0.24862374523102249
4,Foodstuffs,422,"Beverages, spirits, & vinegar",122631798,0.3009794782542697
4,Foodstuffs,423,Food residues & wastes; animal fodder,1051548593,2.5808522099639393
4,Foodstuffs,424,Tobacco & substitutes,436407849,1.0710909310657593
5,Mineral Products,525,"Salt, sulphur, cement, lime, stone, & plaster",371110205,0.9108286569828739
5,Mineral Products,526,"Ores, slag and ash",2073743133,5.08965974880116
5,Mineral Products,527,"Mineral fuels, mineral oils and products of their distillation",792152302,1.944206889585674
6,Chemical Products,628,Inorganic chemicals,851669090,2.0902810081402268
6,Chemical Products,629,Organic chemicals,98670893,0.24217139745454008
6,Chemical Products,630,Pharmaceutical products,192862296,0.47334862712361536
6,Chemical Products,631,Fertilizers,398253347,0.9774470125038582
6,Chemical Products,632,"Paints, dyes, & varnishes",71250776,0.1748732525775398
6,Chemical Products,633,Perfumery & cosmetics,62983238,0.154581947106447
6,Chemical Products,634,"Soap, cleaners, candles, dental, modelling pastes",53994045,0.13251945872095555
6,Chemical Products,635,"Glues, starches, & albuminoid products",42095663,0.1033168467978229
6,Chemical Products,636,"Explosives, matches, & fireworks",16044813,0.03937934144476397
