Section ID,Section,HS2 ID,HS2,Trade Value,Share
1,Animal Products,101,Live animals,7716558,0.010135743988224099
1,Animal Products,102,Meat & edible offal,75506352,0.09917803421638671
1,Animal Products,103,"Fish, Crustaceans & Molluscs",9279868,0.012189160801035019
1,Animal Products,104,"Edible products of animal origin, n.e.s.",713557164,0.9372615012117108
1,Animal Products,105,"Animal originated products, n.e.s.",12213882,0.01604300532107431
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",2262863,0.0029722837628415088
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",97313942,0.1278224310109363
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",178186075,0.23404844990039578
2,Vegetable Products,209,"Coffee, tea, mate & spices",7151158,0.009393087786982312
2,Vegetable Products,210,Cereals,4581545932,6.017887332284883
2,Vegetable Products,211,Products of the milling industry,226240111,0.29716770676296383
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",1537100048,2.0189898878249823
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",605340,0.0007951176244423453
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",3738690,0.004910791144359124
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",2106922412,2.7674548900019436
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",39417724,0.05177541062510989
4,Foodstuffs,417,Sugars & confectioneries,165930325,0.21795045071686375
4,Foodstuffs,418,Cocoa & cocoa preparations,498790436,0.6551641500097163
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",242478880,0.3184974246589363
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",201101190,0.26414758724903153
4,Foodstuffs,421,Miscellaneous edible preparations,103622464,0.136108711491959
4,Foodstuffs,422,"Beverages, spirits, & vinegar",538196422,0.7069241427032907
4,Foodstuffs,423,Food residues & wastes; animal fodder,506630846,0.6654625743230841
4,Foodstuffs,424,Tobacco & substitutes,213808912,0.280839254293525
5,Mineral Products,525,"Salt, sulphur, cement, lime, stone, & plaster",925751948,1.2159805889527102
5,Mineral Products,526,"Ores, slag and ash",2280092554,2.9949148826199488
5,Mineral Products,527,"Mineral fuels, mineral oils and products of their distillation",5373205030,7.057736179824993
6,Chemical Products,628,Inorganic chemicals,1785462882,2.345215920417986
6,Chemical Products,629,Organic chemicals,549917201,0.722319454354749
6,Chemical Products,630,Pharmaceutical products,165186361,0.21697324965902748
6,Chemical Products,631,Fertilizers,2849407596,3.742713514387772
6,Chemical Products,632,"Paints, dyes, & varnishes",259235993,0.34050799042540136
6,Chemical Products,633,Perfumery & cosmetics,115876279,0.15220416904169298
6,Chemical Products,634,"Soap, cleaners, candles, dental, modelling pastes",99041471,0.13009155043908455
6,Chemical Products,635,"Glues, starches, & albuminoid products",76749026,0.10081029377107707
6,Chemical Products,636,"Explosives, matches, & fireworks",14420640,0.018941594838831507
6,Chemical Products,637,Photo & movie goods,2312161,0.003037036973681299
6,Chemical Products,638,Chemical products n.e.s.,221981169,0.2915735615789718
7,Plastics and Rubbers,739,Plastics & articles thereof,701853090,0.9218881316752893
