Section ID,Section,HS2 ID,HS2,Trade Value,Share,Year
1,Animal Products,101,Live animals,83026348.0,1.2911302269466705,1995
1,Animal Products,102,Meat & edible offal,5720213.0,0.088954170414352,1995
1,Animal Products,103,"Fish, Crustaceans & Molluscs",10028480.0,0.1559513813413802,1995
1,Animal Products,104,"Edible products of animal origin, n.e.s.",48624285.0,0.7561489290986229,1995
1,Animal Products,105,"Animal originated products, n.e.s.",3672146.0,0.0571049891097378,1995
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",135585.0,0.0021084619044133,1995
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",98060379.0,1.5249221776290407,1995
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",3053878.0,0.0474903966052733,1995
2,Vegetable Products,209,"Coffee, tea, mate & spices",459937.0,0.0071524109815256,1995
2,Vegetable Products,210,Cereals,64363250.0,1.000903202192216,1995
2,Vegetable Products,211,Products of the milling industry,7151012.0,0.1112043100638169,1995
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",39592731.0,0.6157005937617355,1995
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",661265.0,0.0102832323724739,1995
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",92024.0,0.00143105135739,1995
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",41827234.0,0.6504490132092947,1995
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",6386051.0,0.0993085168207448,1995
4,Foodstuffs,417,Sugars & confectioneries,30591856.0,0.4757293429309918,1995
4,Foodstuffs,418,Cocoa & cocoa preparations,789140.0,0.0122717972286664,1995
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",375095.0,0.0058330458239179,1995
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",14370769.0,0.2234776632638132,1995
4,Foodstuffs,421,Miscellaneous edible preparations,1322543.0,0.020566666905989,1995
4,Foodstuffs,422,"Beverages, spirits, & vinegar",19183866.0,0.2983254094506784,1995
4,Foodstuffs,423,Food residues & wastes; animal fodder,7566545.0,0.1176662011323465,1995
4,Foodstuffs,424,Tobacco & substitutes,1441137.0,0.0224109043296863,1995
1,Animal Products,101,Live animals,41074433.0,0.2517727175894313,1996
1,Animal Products,102,Meat & edible offal,306027976.0,1.8758504877209936,1996
1,Animal Products,103,"Fish, Crustaceans & Molluscs",61669402.0,0.3780130801478163,1996
1,Animal Products,104,"Edible products of animal origin, n.e.s.",205475802.0,1.2594988485515528,1996
1,Animal Products,105,"Animal originated products, n.e.s.",3839794.0,0.0235366698881416,1996
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",635368.0,0.0038945961354928,1996
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",32614413.0,0.1999155872363248,1996
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",12711343.0,0.0779163371852605,1996
2,Vegetable Products,209,"Coffee, tea, mate & spices",2298523.0,0.0140891873577856,1996
2,Vegetable Products,210,Cereals,437283758.0,2.6804051101418547,1996
2,Vegetable Products,211,Products of the milling industry,218789780.0,1.3411091393858998,1996
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",271167314.0,1.6621661354937427,1996
2,Vegetable Products,213,"Natural gums, resins & other vegetable extracts",4982441.0,0.0305407188651637,1996
2,Vegetable Products,214,"Vegetable plaiting materials & products, n.e.s.",136909.0,0.0008392069829047,1996
3,Animal and Vegetable Bi-Products,315,"Animal or vegetable fats, oils, & waxes",201568513.0,1.235548456590274,1996
4,Foodstuffs,416,"Preparations of fish, crustacenas, & molluscs",101313211.0,0.6210165447976231,1996
4,Foodstuffs,417,Sugars & confectioneries,691650329.0,4.239588236165166,1996
4,Foodstuffs,418,Cocoa & cocoa preparations,10806437.0,0.0662398921233795,1996
4,Foodstuffs,419,"Preparations of cereals, flour, starch or milk",17162577.0,0.1052009324663804,1996
4,Foodstuffs,420,"Preparations of vegetables, fruit, nuts or other plant parts",51036089.0,0.3128343810045067,1996
4,Foodstuffs,421,Miscellaneous edible preparations,15587821.0,0.0955481979378171,1996
4,Foodstuffs,422,"Beverages, spirits, & vinegar",443906550.0,2.7210006392358177,1996
4,Foodstuffs,423,Food residues & wastes; animal fodder,94547559.0,0.5795453310548948,1996
4,Foodstuffs,424,Tobacco & substitutes,38226913.0,0.2343183598192277,1996
1,Animal Products,101,Live animals,12148842.0,0.0744094854133782,1997
1,Animal Products,102,Meat & edible offal,260862544.0,1.5977364478577252,1997
1,Animal Products,103,"Fish, Crustaceans & Molluscs",64510138.0,0.3951130628356199,1997
1,Animal Products,104,"Edible products of animal origin, n.e.s.",112020157.0,0.6861034358909138,1997
1,Animal Products,105,"Animal originated products, n.e.s.",3652956.0,0.0223737024646227,1997
2,Vegetable Products,206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",1027172.0,0.0062912448734645,1997
2,Vegetable Products,207,"Edible vegetables, roots, & tubers",41649035.0,0.2550928938176807,1997
2,Vegetable Products,208,"Edible fruits, nuts & fruit peels",8463354.0,0.0518365302644693,1997
2,Vegetable Products,209,"Coffee, tea, mate & spices",3503146.0,0.0214561429960101,1997
2,Vegetable Products,210,Cereals,134538247.0,0.8240227116039521,1997
2,Vegetable Products,211,Products of the milling industry,104273246.0,0.638654990923629,1997
2,Vegetable Products,212,"Oils seeds, oleaginous fruits, grains, straw & fodder",331276651.0,2.029010265371572,1997
